название;url;genre;подписки;просмотры;количество авторов
ROB;https://www.webtoons.com/en/fantasy/rob/list?title_no=2479;Fantasy;56157;503919;2
The Red Hook: War Cry;https://www.webtoons.com/en/super-hero/war-cry/list?title_no=1247;Superhero;26498;729899;1
The Red Hook: STARCROSS;https://www.webtoons.com/en/super-hero/star-cross/list?title_no=1599;Superhero;18146;267569;1
The Red Hook: Blackout & PTSD;https://www.webtoons.com/en/super-hero/the-red-hook-blackout/list?title_no=2282;Superhero;19461;208448;1
City of Walls;https://www.webtoons.com/en/drama/city-of-wall/list?title_no=505;Drama;19532;460673;2
Promise of an Orchid;https://www.webtoons.com/en/fantasy/promise-of-an-orchid/list?title_no=4015;Fantasy;163991;4300000;2
Deadlife;https://www.webtoons.com/en/action/deadlife/list?title_no=3922;Action;117533;4000000;2
I'm the Max-Level Newbie;https://www.webtoons.com/en/action/im-the-max-level-newbie/list?title_no=3915;Action;457561;14500000;3
Blade of thePhantom Master;https://www.webtoons.com/en/action/blade-of-the-phantom-master/list?title_no=3481;Action;41330;927161;2
Descended from Divinity;https://www.webtoons.com/en/fantasy/descended-from-divinity/list?title_no=3450;Fantasy;96128;2300000;4
Nano Machine;https://www.webtoons.com/en/action/nano-machine/list?title_no=4344;Action;95533;2600000;3
Code Adam;https://www.webtoons.com/en/action/code-adam/list?title_no=1657;Action;794624;40200000;1
The Boxer;https://www.webtoons.com/en/sports/the-boxer/list?title_no=2027;Sports;1500000;162600000;1
Stray Souls;https://www.webtoons.com/en/fantasy/stray-souls/list?title_no=2018;Fantasy;387293;14700000;1
Island;https://www.webtoons.com/en/action/island/list?title_no=3923;Action;42447;588626;2
R-X: RAYER HUNTER;https://www.webtoons.com/en/sf/r-x-rayer-hunter/list?title_no=3480;Sci-fi;87932;1000000;2
Villain to Kill;https://www.webtoons.com/en/action/villain-to-kill/list?title_no=2857;Action;1000000;39300000;2
Ordeal;https://www.webtoons.com/en/action/ordeal/list?title_no=2729;Action;270753;9800000;1
Blood-Ink;https://www.webtoons.com/en/action/blood-ink/list?title_no=1490;Action;644150;49500000;1
Backchannel;https://www.webtoons.com/en/super-hero/backchannel/list?title_no=1456;Superhero;150118;2100000;2
Batman: Wayne FamilyAdventures;https://www.webtoons.com/en/slice-of-life/batman-wayne-family-adventures/list?title_no=3180;Slice of life;1100000;55800000;6
Boyfriends.;https://www.webtoons.com/en/slice-of-life/boyfriends/list?title_no=2616;Slice of life;2200000;338100000;1
High Class Homos;https://www.webtoons.com/en/comedy/high-class-homos/list?title_no=2723;Comedy;908121;66300000;1
My Giant Nerd Boyfriend;https://www.webtoons.com/en/slice-of-life/my-giant-nerd-boyfriend/list?title_no=958;Slice of life;2300000;727600000;1
To The Stars and Back;https://www.webtoons.com/en/slice-of-life/to-the-stars-and-back/list?title_no=4047;Slice of life;391641;20700000;1
After School Lessonsfor Unripe Apples;https://www.webtoons.com/en/drama/after-school-lessons-for-unripe-apples/list?title_no=3093;Drama;274611;13000000;1
Adventures of God;https://www.webtoons.com/en/comedy/adventures-of-god/list?title_no=853;Comedy;1500000;440300000;2
Bluechair;https://www.webtoons.com/en/slice-of-life/bluechair/list?title_no=199;Slice of life;1400000;525700000;1
Hyperfocus;https://www.webtoons.com/en/slice-of-life/hyperfocus/list?title_no=3340;Slice of life;204018;15000000;1
